Id,Label,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,degree,eigencentrality,發言次數
P2,P2,94,114,208,2,0.913043,0.952381,37.774008,14,19,33,0.776147,402
P15,P15,257,299,556,2,0.954545,0.97619,86.4625,20,21,41,1,1057
P18,P18,58,70,128,2,0.724138,0.809524,7.618254,11,13,24,0.668403,210
P14,P14,135,99,234,2,0.724138,0.809524,15.310714,14,14,28,0.794216,327
P16,P16,64,49,113,2,0.724138,0.809524,8.730952,13,14,27,0.760924,159
P8,P8,54,39,93,2,0.65625,0.738095,6.990079,10,10,20,0.552976,204
R1,R1,223,384,607,2,0.807692,0.880952,26.346429,15,17,32,0.844347,903
P4,P4,187,153,340,2,0.807692,0.880952,26.522421,14,17,31,0.76878,336
P21,P21,21,10,31,2,0.583333,0.642857,1.358333,8,6,14,0.48248,51
P9,P9,41,42,83,2,0.583333,0.642857,4.95119,9,6,15,0.489454,108
P6,P6,97,51,148,2,0.7,0.785714,17.902579,12,12,24,0.654347,191
P13,P13,35,41,76,2,0.65625,0.738095,3.988294,10,10,20,0.614644,130
P11,P11,21,24,45,3,0.5,0.547619,0.833333,4,3,7,0.225299,28
P5,P5,54,31,85,2,0.65625,0.738095,3.036508,11,11,22,0.668898,147
P1,P1,31,21,52,2,0.567568,0.619048,0.702381,6,5,11,0.363892,59
P10,P10,30,9,39,2,0.538462,0.571429,2.708333,6,3,9,0.365335,8
P12,P12,18,3,21,3,0.512195,0.539683,0.142857,7,2,9,0.457568,45
P19,P19,49,42,91,2,0.636364,0.714286,6.695238,10,10,20,0.599159,89
P20,P20,7,4,11,3,0.512195,0.539683,0.111111,3,2,5,0.175783,17
P3,P3,17,10,27,3,0.552632,0.611111,1.174603,4,5,9,0.281622,32
P17,P17,36,28,64,2,0.636364,0.714286,6.348214,7,9,16,0.388511,52
P7,P7,14,20,34,3,0.5,0.547619,0.291667,4,3,7,0.252022,48
