Id,Label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
P15,P15,20,21,41,253,294,547,2,0.954545,0.97619,86.46 ,1.000 
P2,P2,14,19,33,92,114,206,2,0.913043,0.952381,37.77 ,0.776 
R1,R1,15,17,32,217,375,592,2,0.807692,0.880952,26.35 ,0.844 
P4,P4,14,17,31,186,153,339,2,0.807692,0.880952,26.52 ,0.769 
P14,P14,14,14,28,135,97,232,2,0.724138,0.809524,15.31 ,0.794 
P16,P16,13,14,27,64,49,113,2,0.724138,0.809524,8.73 ,0.761 
P18,P18,11,13,24,57,70,127,2,0.724138,0.809524,7.62 ,0.668 
P6,P6,12,12,24,95,51,146,2,0.7,0.785714,17.90 ,0.654 
P5,P5,11,11,22,54,31,85,2,0.65625,0.738095,3.04 ,0.669 
P8,P8,10,10,20,54,39,93,2,0.65625,0.738095,6.99 ,0.553 
P13,P13,10,10,20,35,41,76,2,0.65625,0.738095,3.99 ,0.615 
P19,P19,10,10,20,49,42,91,2,0.636364,0.714286,6.70 ,0.599 
P17,P17,7,9,16,36,28,64,2,0.636364,0.714286,6.35 ,0.389 
P9,P9,9,6,15,41,42,83,2,0.583333,0.642857,4.95 ,0.489 
P21,P21,8,6,14,21,10,31,2,0.583333,0.642857,1.36 ,0.482 
P1,P1,6,5,11,31,21,52,2,0.567568,0.619048,0.70 ,0.364 
P10,P10,6,3,9,30,9,39,2,0.538462,0.571429,2.71 ,0.365 
P12,P12,7,2,9,18,3,21,3,0.512195,0.539683,0.14 ,0.458 
P3,P3,4,5,9,17,10,27,3,0.552632,0.611111,1.17 ,0.282 
P11,P11,4,3,7,21,24,45,3,0.5,0.547619,0.83 ,0.225 
P7,P7,4,3,7,14,20,34,3,0.5,0.547619,0.29 ,0.252 
P20,P20,3,2,5,7,4,11,3,0.512195,0.539683,0.11 ,0.176 
